topic,valueClass,recordCount
application_server_status,org.radarcns.application.ApplicationServerStatus,1
application_record_counts,org.radarcns.application.ApplicationRecordCounts,1
application_uptime,org.radarcns.application.ApplicationUptime,1
application_external_time,org.radarcns.application.ApplicationExternalTime,1
android_phone_battery_level,org.radarcns.phone.PhoneBatteryLevel,1
android_phone_acceleration,org.radarcns.phone.PhoneAcceleration,1
android_phone_light,org.radarcns.phone.PhoneLight,1
nokia_health_activity,nl.thehyve.kafka.nokia.NokiaHealthActivity,1
nokia_health_body_measurement,nl.thehyve.kafka.nokia.NokiaHealthBodyMeasurement,1
nokia_health_detailed_activity,nl.thehyve.kafka.nokia.NokiaHealthDetailedActivity,1
nokia_health_sleep_state,nl.thehyve.kafka.nokia.NokiaHealthSleep,1
nokia_health_sleep_summary,nl.thehyve.kafka.nokia.NokiaHealthSleepSummary,1
nokia_health_workout,nl.thehyve.kafka.nokia.NokiaHealthWorkout,1
android_phone_places,nl.chdr.googleapi.GoogleApiPlaces,1
android_phone_relative_location,org.radarcns.phone.PhoneRelativeLocation,1
android_phone_call,org.radarcns.phone.PhoneCall,1
android_phone_sms,org.radarcns.phone.PhoneSms,1
android_phone_sms_unread,org.radarcns.phone.PhoneSmsUnread,1
android_phone_step_count,org.radarcns.phone.PhoneStepCount,1
android_phone_gyroscope,org.radarcns.phone.PhoneGyroscope,1
android_phone_magnetic_field,org.radarcns.phone.PhoneMagneticField,1
android_phone_user_interaction,org.radarcns.phone.PhoneUserInteraction,1
android_phone_usage_event,org.radarcns.phone.PhoneUsageEvent,1
android_audio_active,nl.thehyve.prmt.audio.ActiveAudioRecording,1
android_audio_voice_activation,nl.thehyve.prmt.audio.OpenSmileVoiceActivation,1
